VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
3960,DIAGEO NORTH AMERICA INC,2327,Crown Royal Shot Glass VAP,17.55,22.99,750.0,5495,96437.25,0,0,0,0,257032.07,-96437.25,-inf,0.0,0.0
2496,DUGGANS DISTILLED PRODUCTS,1734,Duggans Dew O Kirkintilloch,17.45,21.99,1750.0,5526,96428.7,0,0,0,0,939.27,-96428.7,-inf,0.0,0.0
8664,"STOLI GROUP,(USA) LLC",3689,Stolichnaya Vanil,12.77,16.99,750.0,7541,96298.57,0,0,0,0,18544.49,-96298.57,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,4679,Courvoisier VS Cognac,8.63,13.49,375.0,11158,96293.54000000001,0,0,0,0,123880.97,-96293.54000000001,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,1623,Bulleit 95 Rye,10.07,14.99,375.0,9542,96087.94,0,0,0,0,257032.07,-96087.94,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,523,Castello Del Poggio Moscato,7.09,10.49,750.0,13546,96041.14,0,0,0,0,144929.24,-96041.14,-inf,0.0,0.0
8004,SAZERAC CO INC,5033,Fireball Cinnamon Whisky,12.97,16.99,1000.0,7402,96003.93999999999,0,0,0,0,50293.62,-96003.93999999999,-inf,0.0,0.0
6785,PALM BAY INTERNATIONAL INC,44719,Cavit Prosecco Lunetta,6.89,9.99,750.0,13908,95826.12000000001,0,0,0,0,13605.41,-95826.12000000001,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,31231,Nobilo Svgn Bl MarlborougH,6.49,11.99,750.0,14753,95746.97,0,0,0,0,79528.99,-95746.97,-inf,0.0,0.0
8112,MOET HENNESSY USA INC,2893,Glenmorangie Quinta Ruban,39.67,54.99,750.0,2410,95604.7,0,0,0,0,48347.26,-95604.7,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,2499,Crown Royal Black,21.53,29.99,750.0,4429,95356.37000000001,0,0,0,0,257032.07,-95356.37000000001,-inf,0.0,0.0
98450,Serralles Usa LLC,4145,Don Q Cristal Rum,12.68,19.99,1750.0,7518,95328.24,0,0,0,0,856.02,-95328.24,-inf,0.0,0.0
1587,VINEYARD BRANDS INC,31320,La Vieille Ferme Rose Vntoux,4.69,6.99,750.0,20314,95272.66,0,0,0,0,6070.09,-95272.66,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,6420,R M Woodbridge Chard Cal,3.18,7.99,750.0,29951,95244.18,0,0,0,0,79528.99,-95244.18,-inf,0.0,0.0
8892,TRINCHERO FAMILY ESTATES,10957,Seaglass Svgn Bl Snt Barbara,6.12,8.99,750.0,15556,95202.72,0,0,0,0,11595.97,-95202.72,-inf,0.0,0.0
17035,PERNOD RICARD USA,4628,Martell Cordon Bleu,79.99,104.99,750.0,1190,95188.1,0,0,0,0,123780.22,-95188.1,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,14930,Yellow Tail Moscato,5.93,9.99,1500.0,16029,95051.97,0,0,0,0,144929.24,-95051.97,-inf,0.0,0.0
1590,DIAGEO CHATEAU ESTATE WINES,8921,Sterling Cab Svgn,11.45,18.99,750.0,8288,94897.6,0,0,0,0,7259.75,-94897.6,-inf,0.0,0.0
9165,ULTRA BEVERAGE COMPANY LLP,24419,Bonterra Mendocino Org Chard,6.74,11.99,750.0,14077,94878.98,0,0,0,0,68054.7,-94878.98,-inf,0.0,0.0
8112,MOET HENNESSY USA INC,8223,Dom Chandon Blanc de Noir C,10.36,13.99,750.0,9153,94825.08,0,0,0,0,48347.26,-94825.08,-inf,0.0,0.0
9815,WINE GROUP INC,14342,Cupcake Pnt Nr,4.6,6.99,750.0,20592,94723.2,0,0,0,0,27100.41,-94723.2,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,6960,Cooks Brut,4.6,6.99,750.0,20550,94530.0,0,0,0,0,79528.99,-94530.0,-inf,0.0,0.0
9552,M S WALKER INC,38457,Smoking Loon Pnt Nr,4.59,6.79,750.0,20576,94443.84,0,0,0,0,55551.82,-94443.84,-inf,0.0,0.0
9819,TREASURY WINE ESTATES,8700,Beringer Knights Vly Cab Svg,16.52,31.99,750.0,5682,93866.64,0,0,0,0,14836.57,-93866.64,-inf,0.0,0.0
1128,BROWN-FORMAN CORP,1927,Jack Daniels Barrel Proof,51.84,69.99,750.0,1810,93830.40000000001,0,0,0,0,68601.68,-93830.40000000001,-inf,0.0,0.0
17035,PERNOD RICARD USA,3457,Olmeca Altos Plata Tequila,22.38,34.99,1750.0,4187,93705.06,0,0,0,0,123780.22,-93705.06,-inf,0.0,0.0
3924,HEAVEN HILL DISTILLERIES,3660,Deep Eddy Ruby Red Vodka,21.05,27.99,1750.0,4447,93609.35,0,0,0,0,14069.87,-93609.35,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,10236,Layer Cake Malbec Mendoza,7.81,14.99,750.0,11985,93602.85,0,0,0,0,144929.24,-93602.85,-inf,0.0,0.0
17035,PERNOD RICARD USA,8184,Kahlua,1.55,1.99,50.0,60365,93565.75,0,0,0,0,123780.22,-93565.75,-inf,0.0,0.0
6213,MHW LTD,8398,Casamigos Blanco,33.33,46.99,750.0,2803,93423.98999999999,0,0,0,0,9621.58,-93423.98999999999,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,8898,Yukon Jack,18.83,25.99,1750.0,4944,93095.52,0,0,0,0,257032.07,-93095.52,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,2476,Crown Royal Maple Whisky,16.79,22.99,750.0,5543,93066.97,0,0,0,0,257032.07,-93066.97,-inf,0.0,0.0
3924,HEAVEN HILL DISTILLERIES,3863,Evan Williams Honey Reserve,15.5,24.99,1750.0,6003,93046.5,0,0,0,0,14069.87,-93046.5,-inf,0.0,0.0
17035,PERNOD RICARD USA,3201,Plymouth Gin,21.96,29.99,750.0,4226,92802.95999999999,0,0,0,0,123780.22,-92802.95999999999,-inf,0.0,0.0
1128,BROWN-FORMAN CORP,5297,Southern Comfort,10.76,13.99,750.0,8616,92708.16,0,0,0,0,68601.68,-92708.16,-inf,0.0,0.0
516,BANFI PRODUCTS CORP,18347,Banfi Pnt Grigio San Angelo,8.58,14.99,750.0,10798,92646.84,0,0,0,0,8510.41,-92646.84,-inf,0.0,0.0
4425,MARTIGNETTI COMPANIES,28856,Seghesio Znfdl Sonoma,11.45,19.99,750.0,8085,92573.25,0,0,0,0,144929.24,-92573.25,-inf,0.0,0.0
660,SAZERAC NORTH AMERICA INC.,2783,Lauders Scotch,10.06,14.99,1750.0,9191,92461.45999999999,0,0,0,0,17932.33,-92461.45999999999,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,3220,Svedka Clementine Vodka,14.72,18.99,1750.0,6272,92323.84,0,0,0,0,79528.99,-92323.84,-inf,0.0,0.0
3252,E & J GALLO WINERY,34427,Frei Bros RSV Cab Svgn Alex,13.81,21.99,750.0,6685,92319.85,0,0,0,0,61966.91,-92319.85,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,361,Effen Cucumber Vodka,14.28,19.99,750.0,6458,92220.24,0,0,0,0,123880.97,-92220.24,-inf,0.0,0.0
9165,ULTRA BEVERAGE COMPANY LLP,18013,Cecchi Sangiovese,4.69,7.99,750.0,19643,92125.67,0,0,0,0,68054.7,-92125.67,-inf,0.0,0.0
3960,DIAGEO NORTH AMERICA INC,8440,Bailey's Espresso Creme,14.72,18.99,750.0,6255,92073.59999999999,0,0,0,0,257032.07,-92073.59999999999,-inf,0.0,0.0
660,SAZERAC NORTH AMERICA INC.,5367,Sambuca di Amore,5.83,9.99,750.0,15786,92032.37999999999,0,0,0,0,17932.33,-92032.37999999999,-inf,0.0,0.0
480,BACARDI USA INC,1330,Grey Goose Glass Pack,38.27,49.99,1750.0,2403,91962.81,0,0,0,0,89286.27,-91962.81,-inf,0.0,0.0
1128,BROWN-FORMAN CORP,405,Jack Daniels & Coke,28.45,36.99,1750.0,3232,91950.4,0,0,0,0,68601.68,-91950.4,-inf,0.0,0.0
9165,ULTRA BEVERAGE COMPANY LLP,32831,Carpineto Dogajolo Tuscan Rd,6.75,11.99,750.0,13610,91867.5,0,0,0,0,68054.7,-91867.5,-inf,0.0,0.0
3252,E & J GALLO WINERY,11957,Souverain Cab Svgn N Cst,9.93,14.99,750.0,9246,91812.78,0,0,0,0,61966.91,-91812.78,-inf,0.0,0.0
8664,"STOLI GROUP,(USA) LLC",3487,Stolichnaya Blueberi,12.77,16.99,750.0,7187,91777.99,0,0,0,0,18544.49,-91777.99,-inf,0.0,0.0
1128,BROWN-FORMAN CORP,62,Herradura Silver Tequila,28.67,36.99,750.0,3200,91744.0,0,0,0,0,68601.68,-91744.0,-inf,0.0,0.0
